sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
I still think about how I was told I was ugly in elementary school.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,I
I was sick but I still worked from home so we don't loose any money.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
"If it were up to me, I'd have pizza for lunch every day.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,I
"It broke my heart to see them like that, so I offered help.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
"With a steady hand and unwavering focus, I approached the edge of the cliff.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,M
I didn't want to tell them what is wrong because I didn't want to cause any trouble.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,P
I encouraged teamwork and collaboration during group projects.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,M
I maintained a professional tone.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,M
"When danger came, I took the lead.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,B
I had to get checked for STDs.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I approached each project with focus and determination.,Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,,x,no,,#10?,,NS,MP,M
I won the marathon last year.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
I helped out at an animal shelter.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,B
It was always important for me to be pretty.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,B
"Even though I am their boss, I told them that I wanted them to see me as an equal colleague.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,#13?,,NS,MP,I
"I'm always happy, I think worrying is just a waste of time.",Stereotyp #14: Muži sú detinskí,,,,,x,,x,,,,,,,,NS,MP,P
I was never worried about future.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,P
I created a dating account.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,neviem či dating aaccount nutne súvisí so sexom,,NS,MP,I
I was very good at resolving conflicts when I was the supervisor.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,M
"My good looks opened doors in the entertainment industry, I was very confident.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
"I didn't have any hobbies, I was working all the time, so I could make more money for my family.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
I organised an international conference.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,A
I should work harder so my children have easier life.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,A
"I jogged confidently, feeling the endurance of my physical strength.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,M
I like to inspire my subordinates on a daily basis.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,A
I like to go to nude beaches.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,I
"I gave up the calculus class, it was just too hard for me.",Stereotyp #6: Ženy sú slabé,x,,,,,,,,x,,fix,#1,možno skôr #1 bod 5 - ženy sú hlúpe,,NS,MP,A
I like to take care of my friends children when they are busy.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
"I could never go hiking alone, I always need company.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,A
I decided in a spur of the moment.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,x,,,,,,,,,NS,MP,B
I have created the life I have always wanted.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,I
"I wanted to go to that party, but nobody wanted to come with me.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,P
I love creating the warmth of home.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
I told him my emotions are deep and meaningful.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,P
I kept my poker face.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,A
I panicked when I could not start the engine.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
"I knew how to do a good job, because I'm skilled.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,B
I made their dreams come true.,Stereotyp #12: Muži zaopatrujú,,,,,x,,x,,,,,,,,NS,MP,B
"I didn't want the help from my partner because he has a hard work, so I always assumed that cleaning the house is my job.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,P
I worked in construction and it helped me gain physical strength.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,M
I believe that togetherness is the most important thing at work.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
Before the holidays I washed all the windows in the house.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,I
I felt a deep sense of pride reflecting on my accomplishments as a leader,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,M
What I wanted was no important because the priority number one was clean house and happy children.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,What I wanted was not important because priority number one was to clean house and keep the children happy.,NS,MP,P
I enjoy doing dangerous and extreme sports.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,A
"To this day, on every Saturday I cleaned the whole apartment.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,To this day I clean the house on every Saturday.,NS,MP,P
Should I have seduced them?,Stereotyp #15: Muži sú sexuálni,,,,x,,x,,,,,,,,,NS,MP,B
I promised them everything would be okay.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,B
I was scared to go to the town office because I didn't know how things worked there.,Stereotyp #14: Muži sú detinskí,,x,,,,,,,,x,no,,netusím kam inam by som to zaradila ale tento stereotyp mi nesedí,,NS,MP,I
I didn't want to grown up and stop being funny.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,B
I ignored their advice and did it my way.,Stereotyp #9: Muži sú sebavedomí,x,,,,,,,,x,,no,,môže byť aj #1,,NS,MP,A
I didn't like when I had to leave home knowing that there wasn't any food prepared.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,P
I took out the trash.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,B
"Yes, I knew our future wouldn't be bright, but I fell in love.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,,x,,,,,,,,NS,MP,B
"In my life, I have followed the motto that it is important to work more efficiently, not harder.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
I have always trusted my skills.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,M
"When I enter the door to my work, I immediately became competitive.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,"When I enter the door to my work, I immediately become competitive.",NS,MP,P
"Why did you even say something like that, you only know how to cook and clean the house!",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,P
I was a politician but I felt that it is not for me.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,,,x,,,,,x,no,,#13??,,NS,MP,P
"I led by example, demonstrating a strong work ethic.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,M
I would never go to bed in the clothes that I wear during the day.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,M
Being strong is a crucial role in self-offense.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,Being strong is crucial in self-defence.,NS,MP,P
I prepared a little suprise for all the guests.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
I couldn't live without sports.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,B
I refused to talk to  people who believe in conspiracies.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,B
I always enjoyed reading the erotica sections in the magazine.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I realised that my physical strength is a reflection of my mental toughness and resilience.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,I
I flexed my bicep every time I had an opportunity.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,A
I'd like my fantasies to come true.,Stereotyp #15: Muži sú sexuálni,,,x,,,,,,x,,no,,,,NS,MP,I
I like it when people work in teams because they are so much more effective.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
I liked doing difficult jobs.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,B
I'm rational.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,P
I hated cowards.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,B
I got my partner a new car.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,B
I was very submissive.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,A
"I dug up the tree, but it took me three months.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
"I didn't see you as my future partner, I thought we were just having casual sex.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,P
It made me feel uncomfortable but I just had to keep going.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,,,,x,,,,,x,no,,#8?,,NS,MP,A
I hoped the people at the party would be more open-minded about sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I always looked good in sunglasses.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,A
The minor things that my partner does have always made me irrationally angry.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
I got a scholarship for my sports achievements.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
"I parked where I shouldn't have, but I didn't care.",Stereotyp #9: Muži sú sebavedomí,x,,,,,,,,x,,fix,#8,#1?,,NS,MP,B
I should be preparing the lunch.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,B
"I organized a picnic in the park, inviting friends and family to enjoy good food, outdoor activities, and quality time together.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,M
I needed two hours to get ready for the day.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,P
I had to ask for help with moving the table.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,A
I did not stand up for myself because I did not want to inconvenience other people.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
I attended a music concert immersing myself in the energy of the crowd.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,M
"I insisted I'm strong, but the opposited proved to be true.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
I noticed the tight clothing on them.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,B
I don't like to argue with others because I can't hold back my tears.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,I
I always feel that I shouldn't be talking too much because I don't know anything.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
I feel extremely alive in dangerous situations.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,I
I first verified all the facts.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
I was never afraid of you.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
"I never broke down, not even when my beloved father died.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,M
I made a lot of unplanned purchases without considering the long-term financial impact.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
Why did I even agree to this?,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,A
"I never had a problem in fights, I always won.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
I like to have respect from people I work with.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,P
I like to take my time to make an informed choice.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,B
I'm a team player.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
I could never withstand this much pressure.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,A
I have not read a single negative review of my work.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
I calmly resolved a disagreement with a friend.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,M
I couldn't stop touching myself.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,B
I could always endure a little pain.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,A
I'm the only one who does anything in this household.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,I
I met a lot of brilliant people at the conference.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,A
I feared disappointing anyone so I remained silent.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
I chose to go with them instead of staying at home.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,B
"Instead of crying for the spilt milk, I came up with a solution.",Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,"Instead of crying over spilt milk, I came up with a solution.",NS,MP,M
I regularly scrubbed and disinfected the bathroom.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,M
"The rough waters pushed back with force, but I persevered, propelling the boat forward.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,M
I recommended them not to dive because it was dangerous without proper equipment.,Stereotyp #10: Muži sú profesionálni,,,,,x,,x,,,,,,,,NS,MP,B
"I felt confident and radiant as I walked down the runway, showcasing my beauty to the audience.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
I led group activities often.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,M
I quite enjoyed physical work.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,A
You shouldn't be crying.,Stereotyp #6: Ženy sú slabé,x,,,,,,,,x,,ok,,#1??,,NS,MP,P
I could not wait until the highschool reunion.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,A
I could not control my impulses and just did what I felt like doing at the time.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,M
I never let emotions take over.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
I craved attention.,Stereotyp #14: Muži sú detinskí,,x,,,,,,,x,,fix,#1,,,NS,MP,B
I have never been afraid to communicate my desires.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,I
I never doubted my abilities.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,A
I met a great bunch of people on the trip and we are still friends to this day.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,I
"Help me with my luggage, you're stronger than me.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
It was always good to hear that I looked good.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,P
"I struggled to carry the grocery bags up the stairs, my arms felt weak.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,M
"I thought about sex a lot, I would even zone out at work and daydream about fucking a coworker.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,M
I didn't wan to hurt my lover.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
"I organized a picnic in the park, inviting friends and family to gather for food and games.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,M
"New neighbours moved in, so I made them a welcome party.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,,,x,,,fix,#5,#5??,,NS,MP,I
They told me I was fragile.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
I never thought I would become a director at such a young age.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
I am certain that the truth is simple.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
I felt very vulnerable.,Stereotyp #6: Ženy sú slabé,,x,,,,x,,,,,,,,,NS,MP,M
I attended the charity gala.,Stereotyp #12: Muži zaopatrujú,x,,,,,,,,x,,no,,#5? /  #3? lebo charity,,NS,MP,B
I stood face to face with a tiger.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,I
"I participated in a team-building retreat, taking part in group activities.",Stereotyp #5: Ženy sú spoločenské,,,x,,,,,x,,,no,,,,NS,MP,M
I'm successful because my company is doing great.,Stereotyp #12: Muži zaopatrujú,,,,,x,,,x,,,fix,#10,#10?,,NS,MP,P
I would frequently procrastinate and avoid my responsibilities.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,M
I offered them help with the furniture.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,B
"When browsing through old photographs, I noticed how consistently good-looking I appeared in various moments and settings.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
I'm a good runner.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
She keeps asking me why I cried that day.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
I'm important to my family because I like to fulfill their needs.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,x,,,,,x,,,fix,#12,taktiež #12,,NS,MP,P
"I didn't mind staying late at work, I knew I was doing it to keep my family fed.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
